key	function	param	verdict	S0	S1	S2	S3	lit	lit_hoisted	fmt_lit	lit_deferred	leak_lit	string_b	reasons_S0	reasons_S2	reasons_S3	culprit_S2	culprit_S3	func_value_sites
archive/tar/common.go:648:37	archive/tar.FileInfoHeader	1	leak-heap	false	false	false	false	0	0	0	0	1	0	go: the parameter's -m verdict is not noescape; use: stored in a struct field	go: the parameter's -m verdict is not noescape; use: stored in a struct field	go: the parameter's -m verdict is not noescape; use: stored in a struct field			
bufio/bufio.go:748:30	bufio.(Writer).WriteString	0	leak-heap	false	false	false	false	0	0	0	0	12	0	gap: copy(dst, s) (sstring has no copy); go: the parameter's -m verdict is not noescape; sig: exported method (reflection reach); sig: method matching an interface method (binder: exact parameter types); use: passed to a fixed signature (func value, interface method)	go: the parameter's -m verdict is not noescape; sig: exported method (reflection reach); sig: method matching an interface method (binder: exact parameter types); use: passed to a fixed signature (func value, interface method)	go: the parameter's -m verdict is not noescape; use: passed to a fixed signature (func value, interface method)			
bytes/buffer.go:187:30	bytes.(Buffer).WriteString	0	noescape	false	false	false	true	128	48	0	0	0	0	gap: copy(dst, s) (sstring has no copy); sig: exported method (reflection reach); sig: method matching an interface method (binder: exact parameter types)	sig: exported method (reflection reach); sig: method matching an interface method (binder: exact parameter types)				
bytes/bytes.go:1007:25	bytes.TrimLeft	1	noescape	false	false	true	true	3	0	0	0	0	0	sig: the function is used as a value in test files only (e.g. export_test.go)					1, first bytes/bytes_test.go:1558:11
bytes/bytes.go:1069:26	bytes.TrimRight	1	noescape	false	false	true	true	3	0	0	0	0	0	sig: the function is used as a value in test files only (e.g. export_test.go)					1, first bytes/bytes_test.go:1560:11
bytes/bytes.go:221:25	bytes.IndexAny	1	noescape	false	false	false	false	4	0	0	0	0	0	gap: range over the string (sstring has no enumerator); sig: the function is used as a value in test files only (e.g. export_test.go)	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	internal/bytealg.IndexString	internal/bytealg.IndexString	1, first bytes/bytes_test.go:309:56
bytes/bytes.go:82:28	bytes.ContainsAny	1	noescape	false	false	false	false	3	0	0	0	0	0	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	bytes.IndexAny	bytes.IndexAny	
bytes/bytes.go:988:21	bytes.Trim	1	noescape	false	false	true	true	1	0	0	0	0	0	sig: the function is used as a value in test files only (e.g. export_test.go)					1, first bytes/bytes_test.go:1556:11
crypto/elliptic/nistec.go:280:21	crypto/elliptic.bigFromDecimal	0	leak-heap	false	false	false	false	0	0	0	0	4	0	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape			
crypto/elliptic/nistec.go:288:17	crypto/elliptic.bigFromHex	0	leak-heap	false	false	false	false	0	0	0	0	6	0	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape			
crypto/internal/cryptotest/block.go:241:30	crypto/internal/cryptotest.mustPanic	1	leak-heap	false	false	false	false	0	0	0	0	23	0	go: the parameter's -m verdict is not noescape; use: argument of defer/go (captured by the lowering); use: captured by a closure; use: converted to an interface (box)	go: the parameter's -m verdict is not noescape; use: argument of defer/go (captured by the lowering); use: captured by a closure; use: converted to an interface (box)	go: the parameter's -m verdict is not noescape; use: argument of defer/go (captured by the lowering); use: captured by a closure; use: converted to an interface (box)			
crypto/internal/fips140/cast.go:37:11	crypto/internal/fips140.CAST	0	noescape	false	false	false	false	17	0	0	0	0	0	use: converted to an interface (box)	use: converted to an interface (box)	use: converted to an interface (box)			
crypto/internal/fips140/cast.go:70:10	crypto/internal/fips140.PCT	0	noescape	false	false	false	false	6	6	0	0	0	0	use: converted to an interface (box)	use: converted to an interface (box)	use: converted to an interface (box)			
crypto/internal/fips140/ed25519/ed25519.go:216:81	crypto/internal/fips140/ed25519.signWithDom	4	noescape	true	true	true	true	2	0	0	0	0	0						
crypto/internal/fips140/ed25519/ed25519.go:290:68	crypto/internal/fips140/ed25519.verifyWithDom	4	noescape	true	true	true	true	2	0	0	0	0	0						
crypto/internal/fips140/hkdf/hkdf.go:26:65	crypto/internal/fips140/hkdf.Expand	2	no-verdict	false	false	false	false	0	0	0	0	0	2	go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter			
crypto/internal/fips140/hkdf/hkdf.go:53:59	crypto/internal/fips140/hkdf.Key	3	no-verdict	false	false	false	false	0	0	0	0	0	1	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)			
crypto/internal/fips140/pbkdf2/pbkdf2.go:22:44	crypto/internal/fips140/pbkdf2.Key	1	no-verdict	false	false	false	false	0	0	0	0	1	0	go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter			
crypto/internal/fips140/rsa/pkcs1v15.go:101:37	crypto/internal/fips140/rsa.verifyPKCS1v15	1	noescape	false	false	false	false	2	1	0	0	0	0	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	crypto/internal/fips140/rsa.pkcs1v15ConstructEM	crypto/internal/fips140/rsa.pkcs1v15ConstructEM	
crypto/internal/fips140/rsa/pkcs1v15.go:54:37	crypto/internal/fips140/rsa.signPKCS1v15	1	noescape	false	false	false	false	2	1	0	0	0	0	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	cascade: passed to a parameter that does not survive	crypto/internal/fips140/rsa.pkcs1v15ConstructEM	crypto/internal/fips140/rsa.pkcs1v15ConstructEM	
crypto/internal/fips140/tls13/tls13.go:20:64	crypto/internal/fips140/tls13.ExpandLabel	2	no-verdict	false	false	false	false	0	0	0	0	11	0	gap: append(b, s...) (sstring has no spread); go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter	go: -m printed no verdict for the parameter			
crypto/internal/fips140/tls13/tls13.go:49:65	crypto/internal/fips140/tls13.deriveSecret	2	no-verdict	false	false	false	false	0	0	0	0	2	0	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)	go: -m printed no verdict for the parameter; use: argument of a generic function (type argument)			
crypto/internal/fips140deps/godebug/godebug.go:21:12	crypto/internal/fips140deps/godebug.Value	0	leak-heap	false	false	false	false	0	0	0	0	4	0	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape	go: the parameter's -m verdict is not noescape			
crypto/internal/hpke/hpke.go:29:61	crypto/internal/hpke.(hkdfKDF).LabeledExtract	2	noescape	false	false	false	true	4	4	0	0	0	0	gap: append(b, s...) (sstring has no spread); sig: exported method (reflection reach)	sig: exported method (reflection reach)				
crypto/internal/hpke/hpke.go:38:69	crypto/internal/hpke.(hkdfKDF).LabeledExpand	2	noescape	false	false	false	true	4	4	0	0	0	0	gap: append(b, s...) (sstring has no spread); sig: exported method (reflection reach)	sig: exported method (reflection reach)				
crypto/internal/impl/impl.go:29:15	crypto/internal/impl.Register	0	leak-heap	false	false	false	false	0	0	0	0	9	0	go: the parameter's -m verdict is not noescape; use: stored in a composite literal	go: the parameter's -m verdict is not noescape; use: stored in a composite literal	go: the parameter's -m verdict is not noescape; use: stored in a composite literal			
crypto/internal/impl/impl.go:29:20	crypto/internal/impl.Register	1	leak-heap	false	false	false	false	0	0	0	0	9	0	go: the parameter's -m verdict is not noescape; use: stored in a composite literal	go: the parameter's -m verdict is not noescape; use: stored in a composite literal	go: the parameter's -m verdict is not noescape; use: stored in a composite literal			
crypto/internal/impl/impl.go:66:18	crypto/internal/impl.Select	1	noescape	true	true	true	true	1	0	0	0	0	0						
